song,year,weeks_at_number_one
Bailando,2014,41
El Perdon,2015,30
Cuando Me Enamoro,2010,17
Duele El Corazon,2016,14
Enamorado Por Primera Vez,1997,12
Dimelo,2007,11
Solo En Ti,1997,10
Por Amarte,1996,8
Si Tu Te Vas,1995,8
Trapecista,1996,5
Ritmo Total,1998,4
Esperanza,1998,4
Miente,1997,4
Loco,2013,3
Donde Estan Corazon,2008,3
Experiencia Religiosa,1996,3
Lloro Por Ti,2008,2
El Perdedor,2013,1
No Me Digas Que No,2010,1
Gracias A Ti,2009,1
Para Que La Vida,2003,1
Quizas,2002,1
Mentiroso,2002,1
Heroe,2001,1
Bailemos,1999,1
Nunca Te Olvidare,1999,1
No Llores Por Mi,1996,1
