year,artist,tour,actual_gross_usd,adjusted_gross_2025_usd,adjusted_is_estimate,shows,avg_gross_per_show_usd,source_note
1987,U2,The Joshua Tree Tour,35100000,99470562,FALSE,79,444304,Wikipedia: List of highest-grossing concert tours (annual table)
1988,Pink Floyd,A Momentary Lapse of Reason Tour,27600000,75135059,FALSE,35,788571,Wikipedia: List of highest-grossing concert tours (annual table)
1989,The Rolling Stones,Steel Wheels Tour,98000000,254536913,FALSE,60,1633333,Wikipedia: List of highest-grossing concert tours (annual table)
1990,New Kids on the Block,The Magic Summer Tour,74100000,182607616,FALSE,152,487500,Wikipedia annual table; tour name confirmed via web search (NME/Guinness/Wikipedia)
1991,Grateful Dead,Summer Tour,34700000,82023577,FALSE,76,456579,Wikipedia: List of highest-grossing concert tours (annual table)
1992,U2,Zoo TV Tour,67000000,153717097,FALSE,73,917808,Wikipedia: List of highest-grossing concert tours (annual table)
1993,Grateful Dead,1993 Tour,45600000,101630961,FALSE,81,562963,Wikipedia: List of highest-grossing concert tours (annual table)
1994,The Rolling Stones,Voodoo Lounge Tour,121200000,263271217,FALSE,60,2020000,Wikipedia: List of highest-grossing concert tours (annual table)
1995,Eagles,Hell Freezes Over Tour,63300000,133500000,TRUE,45,1406667,"Actual gross per Pollstar, reported in The Seattle Times / Washington Post (Dec 1995-Jan 1996); Wikipedia's annual table has no 1995 row, so this row was sourced independently. Adjusted-to-2025 figure is Longo Co.'s own estimate (CPI interpolation from neighboring 1994/1996 Wikipedia adjustment ratios), not an official figure."
1996,Eagles,Hell Freezes Over Tour,60300000,123785805,FALSE,45,1340000,Wikipedia: List of highest-grossing concert tours (annual table)
1997,U2,PopMart Tour,138500000,277775187,FALSE,78,1775641,Wikipedia: List of highest-grossing concert tours (annual table)
1998,The Rolling Stones,Bridges to Babylon Tour,193350000,381923489,FALSE,82,2357927,Wikipedia: List of highest-grossing concert tours (annual table)
1999,The Rolling Stones,No Security Tour,89200000,172395126,FALSE,45,1982222,Wikipedia: List of highest-grossing concert tours (annual table)
2000,Tina Turner,Twenty Four Seven Tour,122500000,229021739,FALSE,108,1134259,Wikipedia annual table; artist confirmed via web search (Rolling Stone/Pollstar)
2001,U2,Elevation Tour,143000000,260012216,FALSE,113,1265487,Wikipedia: List of highest-grossing concert tours (annual table)
2002,Paul McCartney,Driving World Tour,126100000,225720167,FALSE,58,2174138,Wikipedia annual table; artist confirmed via web search (Pollstar 2002 round-up)
2003,The Rolling Stones,Licks Tour,299520230,524214585,FALSE,115,2604524,Wikipedia: List of highest-grossing concert tours (annual table)
2004,Madonna,Re-Invention World Tour,125000000,213068182,FALSE,56,2232143,Wikipedia: List of highest-grossing concert tours (annual table)
2005,U2,Vertigo Tour,260000000,428607940,FALSE,90,2888889,Wikipedia: List of highest-grossing concert tours (annual table)
2006,The Rolling Stones,A Bigger Bang Tour,425100000,678910944,FALSE,110,3864545,Wikipedia annual table; artist/tour confirmed via web search (Billboard)
2007,The Police,Reunion Tour,212227302,329529634,FALSE,66,3215565,Wikipedia: List of highest-grossing concert tours (annual table)
2008,Madonna,Sticky & Sweet Tour,281600000,421094281,FALSE,58,4855172,Wikipedia: List of highest-grossing concert tours (annual table)
2009,U2,360 Tour,311637730,467674118,FALSE,44,7082676,Wikipedia: List of highest-grossing concert tours (annual table)
2010,Bon Jovi,The Circle Tour,201100000,296908668,FALSE,80,2513750,Wikipedia annual table; tour name confirmed via web search (NME/Fox Business)
2011,U2,360 Tour,293281487,419748282,FALSE,44,6665488,Wikipedia: List of highest-grossing concert tours (annual table)
2012,Madonna,MDNA Tour,305158363,427947117,FALSE,88,3467709,Wikipedia annual table; tour name confirmed via web search (Billboard/Madonnarama)
2013,Bon Jovi,Because We Can Tour,259500000,358666071,FALSE,102,2544118,Wikipedia: List of highest-grossing concert tours (annual table)
2014,One Direction,Where We Are Tour,290000000,394398369,FALSE,69,4202899,Wikipedia: List of highest-grossing concert tours (annual table)
2015,Taylor Swift,1989 World Tour,250733097,340564750,FALSE,85,2949801,Wikipedia annual table; artist/tour confirmed via web search (CBS News)
2016,Bruce Springsteen & The E Street Band,The River Tour 2016,268300000,359928245,FALSE,76,3530263,Wikipedia annual table; tour name confirmed via web search (IQ Magazine/Shore Fire Media)
2017,U2,Joshua Tree Tour 2017,316990940,416357228,FALSE,50,6339819,Wikipedia: List of highest-grossing concert tours (annual table)
2018,Ed Sheeran,÷ Tour,432400000,554395706,FALSE,94,4600000,Wikipedia annual table; artist/tour confirmed via web search (Variety)
2019,Pink,Beautiful Trauma World Tour,215200000,270995705,FALSE,68,3164706,Wikipedia: List of highest-grossing concert tours (annual table)
2020,Elton John,Farewell Yellow Brick Road,87100000,108357014,FALSE,38,2292105,Wikipedia: List of highest-grossing concert tours (annual table); tour paused in March 2020 due to the COVID-19 pandemic
2021,The Rolling Stones,No Filter Tour,115500000,137229829,FALSE,12,9625000,Wikipedia: List of highest-grossing concert tours (annual table)
2022,Coldplay,Music of the Spheres World Tour,342192313,376473804,FALSE,64,5346755,Wikipedia: List of highest-grossing concert tours (annual table)
2023,Taylor Swift,The Eras Tour,1039263762,1098173536,FALSE,60,17321063,"Wikipedia annual table; artist/tour confirmed via web search (Pollstar/Rolling Stone) - figure covers the 2023 calendar-year portion only; tour continued into 2024"
